njny,pname,aname,vid,vtype,roomfr,roomto,time,desc
0,Yin Singh,Girl006,,,Bld19/b19-f01-rm1017,Bld19/b19-f01-rm1036,0.000,Yin Singh interbuiding leg.snode:b19-f01-rm1017 enode:b19-f01-rm1036
1,Vladimir Takahashi,Man010,,,Bld19/b19-f01-rm1014,Bld19/b19-f01-rm1038,0.000,Vladimir Takahashi interbuiding leg.snode:b19-f01-rm1014 enode:b19-f01-rm1038
2,Myra Zhao,Girl008,,,BldRWB/rwb-f03-rm3259,BldRWB/rwb-f03-rm3265,0.000,Myra Zhao interbuiding leg.snode:rwb-f03-rm3259 enode:rwb-f03-rm3265
3,Rina Takahashi,Businesswoman007,,,BldRWB/rwb-f03-rm3216,BldRWB/rwb-f03-rm3075,0.000,Rina Takahashi interbuiding leg.snode:rwb-f03-rm3216 enode:rwb-f03-rm3075
4,Sally Remus,Girl010,C-2985,Car018,Bld19/b19-f01-rm1018,Bld99/b99-f01-lobby,0.000,Sally Remus traveling to b99-f01-lobby with a Car018
5,Ivan Plank,Businessman004,H-3362,Car012,Bld19/b19-f01-rm1038,BldRWB/rwb-f03-rm3334,0.000,Ivan Plank traveling to rwb-f03-rm3334 with a Car012
6,Elizabeth Lee,Businesswoman004,,,BldRWB/rwb-f03-rm3051,BldRWB/rwb-f03-rm3307,0.000,Elizabeth Lee interbuiding leg.snode:rwb-f03-rm3051 enode:rwb-f03-rm3307
7,Alice Nguyen,Businesswoman008,D-9216,Car023,BldRWB/rwb-f03-rm3232,Bld40/b40-f01-lobby,0.000,Alice Nguyen traveling to b40-f01-lobby with a Car023
8,Sven Santos,Man007,F-7856,Car020,BldSX/bSX-f01-lobby,Bld11/b11-f01-lobby,2.007,Sven Santos traveling to b11-f01-lobby with a Car020
9,John Cupp,Man001,,,BldRWB/rwb-f03-rm3212,BldRWB/rwb-f03-rm3112,2.007,John Cupp interbuiding leg.snode:rwb-f03-rm3212 enode:rwb-f03-rm3112
10,John Chopra,Businessman001,,,Bld19/b19-f01-rm1035,Bld19/b19-f01-rm1014,2.007,John Chopra interbuiding leg.snode:b19-f01-rm1035 enode:b19-f01-rm1014
11,Ivan Garcia,Man006,,,Bld19/b19-f01-rm1017,Bld19/b19-f01-rm1036,2.007,Ivan Garcia interbuiding leg.snode:b19-f01-rm1017 enode:b19-f01-rm1036
12,Sarah Lee,Businesswoman007,,,Bld19/b19-f01-rm1032,Bld19/b19-f01-rm1022,2.007,Sarah Lee interbuiding leg.snode:b19-f01-rm1032 enode:b19-f01-rm1022
13,Mei Visser,Girl008,U-2714,Car006,Bld19/b19-f01-rm1023,BldSX/bSX-f01-lobby,2.007,Mei Visser traveling to bSX-f01-lobby with a Car006
14,Deepak Wilson,Businessman003,,,Bld19/b19-f01-rm1005,Bld19/b19-f01-rm1016,2.007,Deepak Wilson interbuiding leg.snode:b19-f01-rm1005 enode:b19-f01-rm1016
15,Todd Patel,Businessman004,M-1274,Car010,Bld19/b19-f01-rm1028,Bld40/b40-f01-lobby,2.007,Todd Patel traveling to b40-f01-lobby with a Car010
16,Nicole Larsen,Girl001,,,Bld19/b19-f01-rm1034,Bld19/b19-f01-rm1024,4.023,Nicole Larsen interbuiding leg.snode:b19-f01-rm1034 enode:b19-f01-rm1024
17,Zoe Plank,Businesswoman008,A-3751,Car014,Bld19/b19-f01-rm1004,BldRWB/rwb-f03-rm3072,4.023,Zoe Plank traveling to rwb-f03-rm3072 with a Car014
18,Jacob Carnot,Man003,,,BldRWB/rwb-f03-rm3295,BldRWB/rwb-f03-rm3136,4.023,Jacob Carnot interbuiding leg.snode:rwb-f03-rm3295 enode:rwb-f03-rm3136
19,Satya Wilson,Man002,,,BldRWB/rwb-f03-rm3175,BldRWB/rwb-f03-rm3379,4.023,Satya Wilson interbuiding leg.snode:rwb-f03-rm3175 enode:rwb-f03-rm3379
20,Paul Zhang,Businessman008,,,BldRWB/rwb-f03-rm3064,BldRWB/rwb-f03-rm3369,4.023,Paul Zhang interbuiding leg.snode:rwb-f03-rm3064 enode:rwb-f03-rm3369
21,Mary Johnson,Girl005,,,BldRWB/rwb-f03-rm3115,BldRWB/rwb-f03-rm3055,4.023,Mary Johnson interbuiding leg.snode:rwb-f03-rm3115 enode:rwb-f03-rm3055
22,Aryan Cupp,Man008,,,Bld19/b19-f01-rm1015,Bld19/b19-f01-rm1006,4.023,Aryan Cupp interbuiding leg.snode:b19-f01-rm1015 enode:b19-f01-rm1006
23,Detlev Wang,Businessman006,,,Bld19/b19-f01-rm1013,Bld19/b19-f01-rm1004,4.023,Detlev Wang interbuiding leg.snode:b19-f01-rm1013 enode:b19-f01-rm1004
24,Peng Li,Businessman008,H-7519,Car007,Bld19/b19-f01-rm1001,BldRWB/rwb-f03-rm3342,6.034,Peng Li traveling to rwb-f03-rm3342 with a Car007
25,Ema Laren,Girl004,,,Bld19/b19-f01-rm1003,Bld19/b19-f01-rm1031,6.034,Ema Laren interbuiding leg.snode:b19-f01-rm1003 enode:b19-f01-rm1031
26,Yuka Xiao,Girl006,,,Bld19/b19-f01-rm1025,Bld19/b19-f01-rm1037,6.034,Yuka Xiao interbuiding leg.snode:b19-f01-rm1025 enode:b19-f01-rm1037
27,Joana Wu,Businesswoman003,,,Bld19/b19-f01-rm1016,Bld19/b19-f01-lobby,6.034,Joana Wu interbuiding leg.snode:b19-f01-rm1016 enode:b19-f01-lobby
28,Anke Agarwal,Businesswoman007,,,BldRWB/rwb-f03-rm3347,BldRWB/rwb-f03-rm3298,6.034,Anke Agarwal interbuiding leg.snode:rwb-f03-rm3347 enode:rwb-f03-rm3298
29,Aarav Agarwal,Businessman001,,,BldRWB/rwb-f03-rm3143,BldRWB/rwb-f03-rm3242,6.034,Aarav Agarwal interbuiding leg.snode:rwb-f03-rm3143 enode:rwb-f03-rm3242
30,Hans Nguyen,Man004,C-7190,Car027,Bld43/b43-f01-rm1006,BldRWB/rwb-f03-rm3039,6.034,Hans Nguyen traveling to rwb-f03-rm3039 with a Car027
31,Jake Kumar,Man005,,,Bld43/b43-f01-rm1004,Bld43/b43-f01-rm1003,6.034,Jake Kumar interbuiding leg.snode:b43-f01-rm1004 enode:b43-f01-rm1003
32,Bill Wang,Man007,,,BldRWB/rwb-f03-rm3270,BldRWB/rwb-f03-rm3210,6.034,Bill Wang interbuiding leg.snode:rwb-f03-rm3270 enode:rwb-f03-rm3210
33,Rin Zhao,Businesswoman009,,,BldRWB/rwb-f03-rm3257,BldRWB/rwb-f03-rm3371,8.067,Rin Zhao interbuiding leg.snode:rwb-f03-rm3257 enode:rwb-f03-rm3371
34,Liam Santos,Businessman002,,,Bld19/b19-f01-rm1026,Bld19/b19-f01-rm1002,8.067,Liam Santos interbuiding leg.snode:b19-f01-rm1026 enode:b19-f01-rm1002
35,Wim Li,Businessman008,,,BldRWB/rwb-f03-rm3337,BldRWB/rwb-f03-rm3120,8.067,Wim Li interbuiding leg.snode:rwb-f03-rm3337 enode:rwb-f03-rm3120
36,Spyros Wu,Businessman008,F-1201,Car027,BldSX/bSX-f01-lobby,BldRWB/rwb-f03-rm3375,8.067,Spyros Wu traveling to rwb-f03-rm3375 with a Car027
37,Raquel Chen,Businesswoman004,,,Bld19/b19-f01-rm1001,Bld19/b19-f01-rm1024,8.067,Raquel Chen interbuiding leg.snode:b19-f01-rm1001 enode:b19-f01-rm1024
38,John Haneda,Man001,,,Bld19/b19-f01-rm1025,Bld19/b19-f01-rm1015,8.067,John Haneda interbuiding leg.snode:b19-f01-rm1025 enode:b19-f01-rm1015
39,Fu Bohr,Businessman006,,,Bld19/b19-f01-rm1016,Bld19/b19-f01-rm1026,8.067,Fu Bohr interbuiding leg.snode:b19-f01-rm1016 enode:b19-f01-rm1026
40,Yuka Feng,Girl005,K-9074,Car007,Bld19/b19-f01-rm1004,BldRWB/rwb-f03-rm3185,10.105,Yuka Feng traveling to rwb-f03-rm3185 with a Car007
41,Ting Kerr,Girl001,FY-4367,Car004,BldRWB/rwb-f03-rm3091,Bld40/b40-f01-lobby,10.105,Ting Kerr traveling to b40-f01-lobby with a Car004
42,Rene Xian,Man004,,,Bld19/b19-f01-rm1017,Bld19/b19-f01-rm1031,10.105,Rene Xian interbuiding leg.snode:b19-f01-rm1017 enode:b19-f01-rm1031
43,Jim Williams,Man005,,,Bld43/b43-f01-rm1009,Bld43/b43-f01-rm1003,10.105,Jim Williams interbuiding leg.snode:b43-f01-rm1009 enode:b43-f01-rm1003
44,Sally Visser,Girl003,,,Bld19/b19-f01-rm1037,Bld19/b19-f01-rm1001,10.105,Sally Visser interbuiding leg.snode:b19-f01-rm1037 enode:b19-f01-rm1001
45,Thuy Kobayashi,Businesswoman004,,,BldRWB/rwb-f03-rm3210,BldRWB/rwb-f03-rm3307,10.105,Thuy Kobayashi interbuiding leg.snode:rwb-f03-rm3210 enode:rwb-f03-rm3307
46,Oliver Park,Man005,,,Bld19/b19-f01-rm1027,Bld19/b19-f01-rm1021,12.157,Oliver Park interbuiding leg.snode:b19-f01-rm1027 enode:b19-f01-rm1021
47,Satya Kobayashi,Businessman002,,,Bld19/b19-f01-rm1005,Bld19/b19-f01-rm1035,12.157,Satya Kobayashi interbuiding leg.snode:b19-f01-rm1005 enode:b19-f01-rm1035
48,Kevyn Remus,Girl003,,,Bld19/b19-f01-rm1012a,Bld19/b19-f01-lobby,12.157,Kevyn Remus interbuiding leg.snode:b19-f01-rm1012a enode:b19-f01-lobby
49,Mao Balmer,Girl009,,,Bld19/b19-f01-rm1039,Bld19/b19-f01-rm1036,12.157,Mao Balmer interbuiding leg.snode:b19-f01-rm1039 enode:b19-f01-rm1036
50,Aditi Watanabe,Girl006,,,Bld19/b19-f01-rm1012,Bld19/b19-f01-rm1025,12.157,Aditi Watanabe interbuiding leg.snode:b19-f01-rm1012 enode:b19-f01-rm1025
51,Hina Patel,Businesswoman006,,,Bld19/b19-f01-rm1018,Bld19/b19-f01-rm1002,14.160,Hina Patel interbuiding leg.snode:b19-f01-rm1018 enode:b19-f01-rm1002
52,Peng Garcia,Man008,,,Bld19/b19-f01-rm1001,Bld19/b19-f01-rm1026,14.160,Peng Garcia interbuiding leg.snode:b19-f01-rm1001 enode:b19-f01-rm1026
53,Ivan Larsen,Businessman008,X-3326,Car005,Bld19/b19-f01-rm1021,BldRWB/rwb-f03-rm3120,14.160,Ivan Larsen traveling to rwb-f03-rm3120 with a Car005
54,Max Cooper,Businessman002,C-8945,Car023,Bld19/b19-f01-rm1022,Bld99/b99-f01-lobby,14.160,Max Cooper traveling to b99-f01-lobby with a Car023
55,Wei Takahashi,Man009,,,BldRWB/rwb-f03-rm3163,BldRWB/rwb-f03-rm3293,14.160,Wei Takahashi interbuiding leg.snode:rwb-f03-rm3163 enode:rwb-f03-rm3293
56,Vera Yamamoto,Businesswoman005,Z-3055,Car021,Bld19/b19-f01-rm1032,BldRWB/rwb-f03-rm3064,14.160,Vera Yamamoto traveling to rwb-f03-rm3064 with a Car021
57,Dmitry Cooper,Businessman007,,,Bld19/b19-f01-rm1033,Bld19/b19-f01-rm1028,14.160,Dmitry Cooper interbuiding leg.snode:b19-f01-rm1033 enode:b19-f01-rm1028
58,Vladimir Martin,Businessman001,,,BldRWB/rwb-f03-rm3124,BldRWB/rwb-f03-rm3186,14.160,Vladimir Martin interbuiding leg.snode:rwb-f03-rm3124 enode:rwb-f03-rm3186
59,Wim Xian,Businessman007,,,BldRWB/rwb-f03-rm3098,BldRWB/rwb-f03-rm3309,16.205,Wim Xian interbuiding leg.snode:rwb-f03-rm3098 enode:rwb-f03-rm3309
60,Angela Lee,Businesswoman009,DO-5192,Car005,Bld11/b11-f01-lobby,Bld43/b43-f01-rm1009,16.205,Angela Lee traveling to b43-f01-rm1009 with a Car005
61,Judson Xian,Man008,,,Bld19/b19-f01-rm1012,Bld19/b19-f01-rm1015,16.205,Judson Xian interbuiding leg.snode:b19-f01-rm1012 enode:b19-f01-rm1015
62,Haruka Smirnov,Businesswoman003,GT-9804,Car010,Bld11/b11-f01-lobby,Bld43/b43-f01-rm1008,16.205,Haruka Smirnov traveling to b43-f01-rm1008 with a Car010
63,Todd Larsen,Businessman005,,,BldRWB/rwb-f03-rm3321,BldRWB/rwb-f03-rm3348,16.205,Todd Larsen interbuiding leg.snode:rwb-f03-rm3321 enode:rwb-f03-rm3348
64,Sally Smirnov,Businesswoman003,,,BldRWB/rwb-f03-rm3133,BldRWB/rwb-f03-rm3060,16.205,Sally Smirnov interbuiding leg.snode:rwb-f03-rm3133 enode:rwb-f03-rm3060
65,Xaoice Egger,Girl004,P-2598,Car005,BldRWB/rwb-f03-rm3368,BldSX/bSX-f01-lobby,16.205,Xaoice Egger traveling to bSX-f01-lobby with a Car005
66,Fan Jordan,Girl009,,,Bld19/b19-f01-rm1014,Bld19/b19-f01-rm1033,16.205,Fan Jordan interbuiding leg.snode:b19-f01-rm1014 enode:b19-f01-rm1033
67,Chris Becker,Man005,,,Bld19/b19-f01-rm1030,Bld19/b19-f01-rm1032,16.205,Chris Becker interbuiding leg.snode:b19-f01-rm1030 enode:b19-f01-rm1032
68,Uschi Carnot,Girl001,,,Bld19/b19-f01-rm1034,Bld19/b19-f01-rm1021,16.205,Uschi Carnot interbuiding leg.snode:b19-f01-rm1034 enode:b19-f01-rm1021
69,Vinod Haneda,Man003,,,Bld19/b19-f01-rm1001,Bld19/b19-f01-rm1015,18.206,Vinod Haneda interbuiding leg.snode:b19-f01-rm1001 enode:b19-f01-rm1015
70,Arjun Saito,Man006,,,Bld19/b19-f01-rm1019,Bld19/b19-f01-rm1014,18.206,Arjun Saito interbuiding leg.snode:b19-f01-rm1019 enode:b19-f01-rm1014
71,Rio Santos,Businesswoman010,,,Bld19/b19-f01-rm1027,Bld19/b19-f01-rm1019,18.206,Rio Santos interbuiding leg.snode:b19-f01-rm1027 enode:b19-f01-rm1019
72,Brett Remus,Man001,,,Bld19/b19-f01-rm1013,Bld19/b19-f01-rm1026,18.206,Brett Remus interbuiding leg.snode:b19-f01-rm1013 enode:b19-f01-rm1026
73,Fang Nguyen,Businessman003,,,Bld19/b19-f01-rm1013,Bld19/b19-f01-rm1024,18.206,Fang Nguyen interbuiding leg.snode:b19-f01-rm1013 enode:b19-f01-rm1024
74,Tay Johnson,Businesswoman001,,,Bld19/b19-f01-rm1003,Bld19/b19-f01-rm1026,18.206,Tay Johnson interbuiding leg.snode:b19-f01-rm1003 enode:b19-f01-rm1026
75,Li Zhang,Girl010,,,Bld19/b19-f01-rm1033a,Bld19/b19-f01-rm1034,18.206,Li Zhang interbuiding leg.snode:b19-f01-rm1033a enode:b19-f01-rm1034
76,Ai Visser,Businesswoman007,Q-6670,Car020,Bld19/b19-f01-rm1006,BldRWB/rwb-f03-rm3363,18.206,Ai Visser traveling to rwb-f03-rm3363 with a Car020
77,Ava Egger,Girl001,,,Bld19/b19-f01-rm1039,Bld19/b19-f01-rm1018,18.206,Ava Egger interbuiding leg.snode:b19-f01-rm1039 enode:b19-f01-rm1018
78,Louise Cai,Businesswoman009,E-6949,Car002,Bld19/b19-f01-rm1030,BldRWB/rwb-f03-rm3336,20.269,Louise Cai traveling to rwb-f03-rm3336 with a Car002
79,Rio Remus,Businesswoman005,,,Bld19/b19-f01-rm1029,Bld19/b19-f01-rm1013,20.269,Rio Remus interbuiding leg.snode:b19-f01-rm1029 enode:b19-f01-rm1013
